timestamp,algorithm,assignment_time,total_cost,cache_hits,cache_misses,assignments_made,services_count,providers_count,average_cost_per_service
2025-06-02T13:42:38.144687,BELADY,0.14661240577697754,4000,0,5,5,5,2,800.0
2025-06-02T13:42:38.627264,BELADY,0.15076470375061035,4000,0,5,5,5,2,800.0
2025-06-02T13:42:38.952703,ROUND_ROBIN,0.0003788471221923828,4000,0,5,5,5,2,800.0
2025-06-02T13:42:39.275773,ROUND_ROBIN,0.0005710124969482422,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:39.601290,ROUND_ROBIN,0.0003581047058105469,4000,0,5,5,5,2,800.0
2025-06-02T13:42:39.927574,ROUND_ROBIN,0.0002961158752441406,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:40.260389,ROUND_ROBIN,0.0004665851593017578,4000,0,5,5,5,2,800.0
2025-06-02T13:42:40.583933,ROUND_ROBIN,0.0004801750183105469,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:40.907495,ROUND_ROBIN,0.0006611347198486328,4000,0,5,5,5,2,800.0
2025-06-02T13:42:41.231793,ROUND_ROBIN,0.0004286766052246094,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:41.556637,ROUND_ROBIN,0.0005402565002441406,4000,0,5,5,5,2,800.0
2025-06-02T13:42:41.869351,ROUND_ROBIN,0.00030231475830078125,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:42.192149,ROUND_ROBIN,0.0004680156707763672,4000,0,5,5,5,2,800.0
2025-06-02T13:42:42.518092,ROUND_ROBIN,0.0006060600280761719,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:42.854044,ROUND_ROBIN,0.0007035732269287109,4000,0,5,5,5,2,800.0
2025-06-02T13:42:43.176790,ROUND_ROBIN,0.0006771087646484375,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:43.506879,ROUND_ROBIN,0.0002732276916503906,4000,0,5,5,5,2,800.0
